bloco,rep,trat,emerg,tempo,censura
2,10,c,12,23,0
2,10,c,13,23,0
2,10,c,14,23,0
2,10,c,15,23,0
2,10,c,16,23,0
2,10,c,17,23,0
2,10,c,18,23,0
2,10,c,19,23,0
2,10,c,20,23,0
3,11,Bas,1,13,1
3,11,Bas,2,13,1
3,11,Bas,3,13,1
3,11,Bas,4,13,1
3,11,Bas,5,13,1
3,11,Bas,6,13,1
3,11,Bas,7,13,1
3,11,Bas,8,13,1
3,11,Bas,9,13,1
3,11,Bas,10,13,1
3,11,Bas,11,14,1
3,11,Bas,12,14,1
3,11,Bas,13,14,1
3,11,Bas,14,14,1
3,11,Bas,15,14,1
3,11,Bas,16,14,1
3,11,Bas,17,14,1
3,11,Bas,18,23,0
3,11,Bas,19,23,0
3,11,Bas,20,23,0
3,12,Bas,1,12,1
3,12,Bas,2,12,1
3,12,Bas,3,13,1
3,12,Bas,4,13,1
3,12,Bas,5,13,1
3,12,Bas,6,13,1
3,12,Bas,7,13,1
3,12,Bas,8,13,1
3,12,Bas,9,13,1
3,12,Bas,10,13,1
3,12,Bas,11,13,1
3,12,Bas,12,13,1
3,12,Bas,13,14,1
3,12,Bas,14,16,1
3,12,Bas,15,18,1
3,12,Bas,16,23,0
3,12,Bas,17,23,0
3,12,Bas,18,23,0
3,12,Bas,19,23,0
3,12,Bas,20,23,0
3,13,Bas,1,13,1
3,13,Bas,2,13,1
3,13,Bas,3,13,1
3,13,Bas,4,13,1
3,13,Bas,5,13,1
3,13,Bas,6,14,1
3,13,Bas,7,14,1
3,13,Bas,8,14,1
3,13,Bas,9,14,1
3,13,Bas,10,14,1
3,13,Bas,11,14,1
3,13,Bas,12,14,1
3,13,Bas,13,14,1
3,13,Bas,14,16,1
3,13,Bas,15,23,0
3,13,Bas,16,23,0
3,13,Bas,17,23,0
3,13,Bas,18,23,0
3,13,Bas,19,23,0
3,13,Bas,20,23,0
3,14,Bas,1,13,1
3,14,Bas,2,14,1
3,14,Bas,3,14,1
3,14,Bas,4,14,1
3,14,Bas,5,14,1
3,14,Bas,6,14,1
3,14,Bas,7,14,1
3,14,Bas,8,14,1
3,14,Bas,9,14,1
3,14,Bas,10,14,1
3,14,Bas,11,14,1
3,14,Bas,12,14,1
3,14,Bas,13,14,1
3,14,Bas,14,23,0
3,14,Bas,15,23,0
3,14,Bas,16,23,0
3,14,Bas,17,23,0
3,14,Bas,18,23,0
3,14,Bas,19,23,0
3,14,Bas,20,23,0
3,15,Bas,1,13,1
